step,stage,loss,nll,ident,occ,remainder_rms,C,R,Q_rated,A_s,beta
0,A,-0.8383874297142029,-0.8752238750457764,0.0,0.7367293238639832,0.0,6.000000476837158,6.000000476837158,6.000000476837158,4.0,80.0
100,A,-1.0185192823410034,-1.019054651260376,0.0,0.010401302948594093,0.0,6.2187628746032715,5.694290637969971,5.719374179840088,4.293025970458984,80.3260726928711
200,A,-1.07627534866333,-1.0770573616027832,0.0,0.014901692047715187,0.0,6.0903120040893555,5.435128211975098,5.587826728820801,4.489734172821045,80.86235809326172
300,A,-1.0897754430770874,-1.091005802154541,0.0,0.02348756417632103,0.0,5.963126182556152,5.251625061035156,5.5646843910217285,4.5619425773620605,81.35720825195312
400,A,-1.0916998386383057,-1.0929808616638184,0.0,0.024248097091913223,0.0,5.959749221801758,5.135311126708984,5.579416751861572,4.573569297790527,81.78373718261719
500,A,-1.0920286178588867,-1.0932576656341553,0.0,0.023015080019831657,0.0,5.988823890686035,5.052803993225098,5.6068243980407715,4.58343505859375,82.15907287597656
600,A,-1.0921939611434937,-1.0933854579925537,0.0,0.022097736597061157,0.0,6.02467679977417,4.988517761230469,5.639430999755859,4.604013442993164,82.50588989257812
700,A,-1.0923449993133545,-1.093510389328003,0.0,0.021417180076241493,0.0,6.064019203186035,4.935030937194824,5.6758036613464355,4.633593559265137,82.83723449707031
800,A,-1.0925004482269287,-1.093643069267273,0.0,0.020802976563572884,0.0,6.106295585632324,4.887068748474121,5.715314865112305,4.66936731338501,83.15914154052734
900,A,-1.0926475524902344,-1.0937693119049072,0.0,0.020210957154631615,0.0,6.15119743347168,4.841142177581787,5.757489204406738,4.709300994873047,83.47441864013672
1000,A,-1.0927975177764893,-1.0938990116119385,0.0,0.019613197073340416,0.0,6.198479652404785,4.795399188995361,5.8019795417785645,4.752140045166016,83.78437042236328
1100,A,-1.0929529666900635,-1.0940353870391846,0.0,0.019014952704310417,0.0,6.247903823852539,4.749139308929443,5.8485236167907715,4.797194004058838,84.0897445678711
1200,A,-1.0930982828140259,-1.0941632986068726,0.0,0.018421655520796776,0.0,6.299265384674072,4.70222806930542,5.89688777923584,4.8440704345703125,84.39088439941406
1300,A,-1.093247890472412,-1.0942965745925903,0.0,0.0178275965154171,0.0,6.352365016937256,4.654787540435791,5.946873188018799,4.892508506774902,84.68812561035156
1400,A,-1.0933952331542969,-1.094429850578308,0.0,0.017250027507543564,0.0,6.406991958618164,4.607022285461426,5.998289108276367,4.942313194274902,84.98165130615234
1500,A,-1.0935349464416504,-1.0945569276809692,0.0,0.016671981662511826,0.0,6.462960243225098,4.55915641784668,6.0509467124938965,4.993313789367676,85.27162170410156
1600,A,-1.093661904335022,-1.0946733951568604,0.0,0.016111958771944046,0.0,6.5200676918029785,4.511373519897461,6.104668617248535,5.04533576965332,85.5582275390625
1700,A,-1.0938023328781128,-1.0948052406311035,0.0,0.01556368824094534,0.0,6.578127861022949,4.463857650756836,6.159275531768799,5.098223686218262,85.84156036376953
1799,A,-1.0939241647720337,-1.0949205160140991,0.0,0.015035145916044712,0.0,6.636376857757568,4.417243003845215,6.214045524597168,5.151276111602783,86.11903381347656
0,B1,-1.093923568725586,-1.0949199199676514,0.0,0.015030336566269398,0.0,6.636968612670898,4.416774749755859,6.214601039886475,5.151814937591553,86.12181854248047
100,B1,-1.0954015254974365,-1.0964503288269043,0.0003525367355905473,0.012872929684817791,0.018761416897177696,6.636968612670898,4.416774749755859,6.214601039886475,5.187021255493164,86.23725128173828
200,B1,-1.0977778434753418,-1.0989316701889038,0.0006912731332704425,0.01192868035286665,0.026291847229003906,6.636968612670898,4.416774749755859,6.214601039886475,5.182706356048584,86.32847595214844
299,B1,-1.0994937419891357,-1.100697636604309,0.0008187824278138578,0.011794309131801128,0.02861415222287178,6.636968612670898,4.416774749755859,6.214601039886475,5.173057556152344,86.39692687988281
0,B2,-1.0995091199874878,-1.1007131338119507,0.0008196159033104777,0.011788113974034786,0.02862871065735817,6.636968612670898,4.416774749755859,6.214601039886475,5.1730241775512695,86.39757537841797
100,B2,-1.1019868850708008,-1.1033296585083008,0.0010226474842056632,0.011971976608037949,0.031976524740457535,6.717225551605225,4.313769817352295,6.257684230804443,5.198988914489746,86.5126724243164
200,B2,-1.1040172576904297,-1.105405569076538,0.0010230701882392168,0.011949250474572182,0.031984809786081314,6.8249335289001465,4.219523906707764,6.36379337310791,5.290456771850586,86.62655639648438
300,B2,-1.1057674884796143,-1.107150673866272,0.0009670943836681545,0.011356362141668797,0.03109692968428135,6.934017181396484,4.131701469421387,6.476097106933594,5.3866658210754395,86.736083984375
400,B2,-1.107650637626648,-1.1090577840805054,0.0009688734426163137,0.010885626077651978,0.03112402930855751,7.046697616577148,4.064194202423096,6.584896564483643,5.4862895011901855,86.83877563476562
500,B2,-1.1096274852752686,-1.111136555671692,0.0011449020821601152,0.010467082262039185,0.03383084014058113,7.153510093688965,4.010876655578613,6.686164379119873,5.589302062988281,86.93590545654297
600,B2,-1.1112996339797974,-1.1130037307739258,0.001534900045953691,0.010020829737186432,0.03916653245687485,7.246551990509033,3.9621102809906006,6.776342868804932,5.686502933502197,87.02760314941406
700,B2,-1.1127116680145264,-1.1146633625030518,0.0020404502283781767,0.009669260121881962,0.045151419937610626,7.332273960113525,3.9224588871002197,6.85209321975708,5.775661468505859,87.11309814453125
800,B2,-1.113820195198059,-1.1159851551055908,0.0024974574334919453,0.0091331722214818,0.04994840547442436,7.405421257019043,3.8865950107574463,6.918744087219238,5.850946426391602,87.19239044189453
900,B2,-1.1146267652511597,-1.1169536113739014,0.0028386579360812902,0.008676485158503056,0.05325094610452652,7.471433639526367,3.853055715560913,6.973803520202637,5.902653694152832,87.26533508300781
1000,B2,-1.115212082862854,-1.117668628692627,0.0030955872498452663,0.008373703807592392,0.055611271411180496,7.527318000793457,3.820936918258667,7.023939609527588,5.947484016418457,87.33304595947266
1100,B2,-1.1157017946243286,-1.1182631254196167,0.003302432131022215,0.008080429397523403,0.0574415922164917,7.575966835021973,3.793311834335327,7.068662643432617,5.989499568939209,87.3960189819336
1200,B2,-1.116112232208252,-1.1187628507614136,0.003474591765552759,0.007838602177798748,0.05892195552587509,7.619418144226074,3.769120454788208,7.108779430389404,6.02692174911499,87.45545196533203
1300,B2,-1.116452693939209,-1.119181513786316,0.003623923286795616,0.007609870284795761,0.06017624959349632,7.657963752746582,3.7460312843322754,7.144376754760742,6.0605387687683105,87.51239013671875
1399,B2,-1.1167417764663696,-1.1195502281188965,0.0037691702600568533,0.007494622841477394,0.06137100234627724,7.693552494049072,3.726426362991333,7.177546501159668,6.093151092529297,87.56753540039062
