day,on_frac,q_unknown_map,q_true
1.388889155350625515e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.861111287027597427e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
8.333334699273109436e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.180555671453475952e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.527777966111898422e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.875000074505805969e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.222222089767456055e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.569444663822650909e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.916666865348815918e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.263889253139495850e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.611111268401145935e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.958333656191825867e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.305556043982505798e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
4.652777686715126038e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.000000074505805969e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.347222462296485901e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.694444477558135986e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
6.041667237877845764e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
6.388889253139495850e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
6.736111640930175781e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
7.083333283662796021e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
7.430555671453475952e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
7.777778059244155884e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
8.125000447034835815e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
8.472222834825515747e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
8.819445222616195679e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
9.166666865348815918e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
9.513889998197555542e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
9.861111640930175781e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.020833328366279602e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.055555641651153564e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.090277805924415588e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.125000044703483582e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
